Employee #,Last Name,First Name,Month,Date,Time-in,Time-out
10001,Crisostomo,Jose,January,1/9/2022,8:00,17:00
10002,Mata,Christian,January,1/9/2022,8:00,17:00
10003,San Jose,Brad,January,1/9/2022,8:00,17:00
10004,Salcedo,Anthony,January,1/9/2022,8:00,17:00
10005,Romualdez,Alice,January,1/9/2022,8:00,17:00
10006,Atienza,Rosie,January,1/9/2022,8:00,17:00
10007,Farala,Martha,January,1/9/2022,8:27,17:00
10008,Martinez,Leila,January,1/9/2022,8:01,17:00
10009,San Jose,Allison,January,1/9/2022,8:05,17:00
10010,Rosario,Cydney,January,1/9/2022,8:00,17:00
10011,Lopez,Josie,January,1/9/2022,8:00,17:00
10012,De Leon,Selena,January,1/9/2022,8:00,17:00
10013,Romualdez,Fredrick,January,1/9/2022,8:00,17:00
10014,Bautista,Mark,January,1/9/2022,8:00,17:00
10015,Lazaro,Darlene,January,1/9/2022,8:00,17:00
10016,Delos Santos,Kolby,January,1/9/2022,8:28,17:00
10017,Santos,Vella,January,1/9/2022,8:00,17:00
10018,Del Rosario,Tomas,January,1/9/2022,8:00,17:00
10019,Tolentino,Jacklyn,January,1/9/2022,8:00,17:00
10020,Gutierrez,Percival,January,1/9/2022,8:00,17:00
10021,Manalaysay,Garfield,January,1/9/2022,8:11,17:00
10022,Villegas,Lizeth,January,1/9/2022,8:00,17:00
10023,Ramos,Carol,January,1/9/2022,8:00,17:00
10024,Maceda,Emelia,January,1/9/2022,8:21,17:00
10025,Aguilar,Delia,January,1/9/2022,8:00,17:00
10001,Crisostomo,Jose,February,2/9/2022,8:00,17:00
10002,Mata,Christian,February,2/9/2022,8:00,17:00
10003,San Jose,Brad,February,2/9/2022,8:00,17:00
10004,Salcedo,Anthony,February,2/9/2022,8:00,17:00
10005,Romualdez,Alice,February,2/9/2022,8:00,17:00
10006,Atienza,Rosie,February,2/9/2022,8:00,17:00
10007,Farala,Martha,February,2/9/2022,8:00,17:00
10008,Martinez,Leila,February,2/9/2022,8:00,17:00
10009,San Jose,Allison,February,2/9/2022,8:00,17:00
10010,Rosario,Cydney,February,2/9/2022,8:00,17:00
10011,Lopez,Josie,February,2/9/2022,8:00,17:00
10012,De Leon,Selena,February,2/9/2022,8:00,17:00
10013,Romualdez,Fredrick,February,2/9/2022,8:00,17:00
10014,Bautista,Mark,February,2/9/2022,8:00,17:00
10015,Lazaro,Darlene,February,2/9/2022,8:00,17:00
10016,Delos Santos,Kolby,February,2/9/2022,8:00,17:00
10017,Santos,Vella,February,2/9/2022,8:00,17:00
10018,Del Rosario,Tomas,February,2/9/2022,8:00,17:00
10019,Tolentino,Jacklyn,February,2/9/2022,8:00,17:00
10020,Gutierrez,Percival,February,2/9/2022,8:00,17:00
10021,Manalaysay,Garfield,February,2/9/2022,8:00,17:00
10022,Villegas,Lizeth,February,2/9/2022,8:00,17:00
10023,Ramos,Carol,February,2/9/2022,8:00,17:00
10024,Maceda,Emelia,February,2/9/2022,8:00,17:00
10025,Aguilar,Delia,February,2/9/2022,8:00,17:00
10001,Crisostomo,Jose,May,5/9/2022,8:00,17:00
10002,Mata,Christian,May,5/9/2022,8:00,17:00
10003,San Jose,Brad,May,5/9/2022,8:00,17:00
10004,Salcedo,Anthony,May,5/9/2022,8:00,17:00
10005,Romualdez,Alice,May,5/9/2022,8:15,17:00
10006,Atienza,Rosie,May,5/9/2022,8:00,17:00
10007,Farala,Martha,May,5/9/2022,8:00,17:00
10008,Martinez,Leila,May,5/9/2022,8:00,17:00
10009,San Jose,Allison,May,5/9/2022,8:00,17:00
10010,Rosario,Cydney,May,5/9/2022,8:00,17:00
10011,Lopez,Josie,May,5/9/2022,10:30,17:00
10012,De Leon,Selena,May,5/9/2022,8:00,17:00
10013,Romualdez,Fredrick,May,5/9/2022,8:00,17:00
10014,Bautista,Mark,May,5/9/2022,8:00,17:00
10015,Lazaro,Darlene,May,5/9/2022,8:00,17:00
10016,Delos Santos,Kolby,May,5/9/2022,8:00,17:00
10017,Santos,Vella,May,5/9/2022,8:00,17:00
10018,Del Rosario,Tomas,May,5/9/2022,8:00,17:00
10019,Tolentino,Jacklyn,May,5/9/2022,8:00,17:00
10020,Gutierrez,Percival,May,5/9/2022,8:00,17:00
10021,Manalaysay,Garfield,May,5/9/2022,13:00,17:00
10022,Villegas,Lizeth,May,5/9/2022,8:00,17:00
10023,Ramos,Carol,May,5/9/2022,8:00,17:00
10024,Maceda,Emelia,May,5/9/2022,8:00,17:00
10025,Aguilar,Delia,May,5/9/2022,8:00,17:00
10001,Crisostomo,Jose,June,6/9/2022,8:00,17:00
10002,Mata,Christian,June,6/9/2022,8:00,17:00
10003,San Jose,Brad,June,6/9/2022,11:30,17:00
10004,Salcedo,Anthony,June,6/9/2022,8:00,17:00
10005,Romualdez,Alice,June,6/9/2022,8:00,17:00
10006,Atienza,Rosie,June,6/9/2022,8:00,17:00
10007,Farala,Martha,June,6/9/2022,8:00,17:00
10008,Martinez,Leila,June,6/9/2022,8:10,17:00
10009,San Jose,Allison,June,6/9/2022,0:00,0:00
10010,Rosario,Cydney,June,6/9/2022,8:00,17:00
10011,Lopez,Josie,June,6/9/2022,8:00,17:00
10012,De Leon,Selena,June,6/9/2022,8:00,17:00
10013,Romualdez,Fredrick,June,6/9/2022,8:00,17:00
10014,Bautista,Mark,June,6/9/2022,8:00,17:00
10015,Lazaro,Darlene,June,6/9/2022,8:00,17:00
10016,Delos Santos,Kolby,June,6/9/2022,8:00,17:00
10017,Santos,Vella,June,6/9/2022,8:05,17:00
10018,Del Rosario,Tomas,June,6/9/2022,8:00,17:00
10019,Tolentino,Jacklyn,June,6/9/2022,8:00,17:00
10020,Gutierrez,Percival,June,6/9/2022,8:00,17:00
10021,Manalaysay,Garfield,June,6/9/2022,8:00,17:00
10022,Villegas,Lizeth,June,6/9/2022,8:00,17:00
10023,Ramos,Carol,June,6/9/2022,9:00,17:00
10024,Maceda,Emelia,June,6/9/2022,8:00,17:00
10025,Aguilar,Delia,June,6/9/2022,8:00,17:00
10001,Crisostomo,Jose,July,7/9/2022,8:00,17:00
10002,Mata,Christian,July,7/9/2022,8:00,17:00
10003,San Jose,Brad,July,7/9/2022,8:00,17:00
10004,Salcedo,Anthony,July,7/9/2022,8:00,17:00
10005,Romualdez,Alice,July,7/9/2022,8:00,17:00
10006,Atienza,Rosie,July,7/9/2022,8:00,17:00
10007,Farala,Martha,July,7/9/2022,8:00,17:00
10008,Martinez,Leila,July,7/9/2022,8:00,17:00
10009,San Jose,Allison,July,7/9/2022,0:00,0:00
10010,Rosario,Cydney,July,7/9/2022,8:00,17:00
10011,Lopez,Josie,July,7/9/2022,8:00,17:00
10012,De Leon,Selena,July,7/9/2022,8:00,17:00
10013,Romualdez,Fredrick,July,7/9/2022,8:00,17:00
10014,Bautista,Mark,July,7/9/2022,8:00,17:00
10015,Lazaro,Darlene,July,7/9/2022,8:00,17:00
10016,Delos Santos,Kolby,July,7/9/2022,8:00,17:00
10017,Santos,Vella,July,7/9/2022,8:00,17:00
10018,Del Rosario,Tomas,July,7/9/2022,8:00,17:00
10019,Tolentino,Jacklyn,July,7/9/2022,8:00,17:00
10020,Gutierrez,Percival,July,7/9/2022,8:00,17:00
10021,Manalaysay,Garfield,July,7/9/2022,8:00,17:00
10022,Villegas,Lizeth,July,7/9/2022,8:00,17:00
10023,Ramos,Carol,July,7/9/2022,8:00,17:00
10024,Maceda,Emelia,July,7/9/2022,8:00,17:00
10025,Aguilar,Delia,July,7/9/2022,8:00,17:00
10001,Crisostomo,Jose,August,8/9/2022,8:00,17:00
10002,Mata,Christian,August,8/9/2022,8:00,17:00
10003,San Jose,Brad,August,8/9/2022,8:00,17:00
10004,Salcedo,Anthony,August,8/9/2022,8:00,17:00
10005,Romualdez,Alice,August,8/9/2022,8:00,17:00
10006,Atienza,Rosie,August,8/9/2022,8:00,17:00
10007,Farala,Martha,August,8/9/2022,8:00,17:00
10008,Martinez,Leila,August,8/9/2022,8:00,17:00
10009,San Jose,Allison,August,8/9/2022,0:00,0:00
10010,Rosario,Cydney,August,8/9/2022,8:00,17:00
10011,Lopez,Josie,August,8/9/2022,8:00,17:00
10012,De Leon,Selena,August,8/9/2022,8:00,17:00
10013,Romualdez,Fredrick,August,8/9/2022,10:00,17:00
10014,Bautista,Mark,August,8/9/2022,10:00,17:00
10015,Lazaro,Darlene,August,8/9/2022,10:00,17:00
10016,Delos Santos,Kolby,August,8/9/2022,10:00,17:00
