Employee #,Last Name,Password,Access Type
10001,Crisostomo,Test1,Manager
10002,Mata,Test2,Manager
10003,San Jose,Test3,Regular
10004,Salcedo,Test4,Regular
10005,Romualdez,Test5,Regular
10006,Atienza,Test6,Regular
10007,Farala,Test7,Regular
10008,Martinez,Test8,Regular
10009,San Jose,Test9,Regular
10010,Rosario,Test10,Regular
10011,Lopez,Test11,Regular
10012,De Leon,Test12,Regular
10013,Romualdez,Test13,Regular
10014,Bautista,Test14,Regular
10015,Lazaro,Test15,Regular
10016,Delos Santos,Test16,Regular
10017,Santos,Test17,Regular
10018,Del Rosario,Test18,Regular
10019,Tolentino,Test19,Regular
10020,Gutierrez,Test20,Regular
10021,Manalaysay,Test21,Regular
10022,Villegas,Test22,Regular
10023,Ramos,Test23,Regular
10024,Maceda,Test24,Regular
10025,Aguilar,Test25,Regular
admin,Me,admin,Admin
77,Doncic,Test77,Regular
12345,adfadfda,Test12345,Regular
